id,author,title,link,publish_date,views,excerpt
0,Billy Bambrough,Tesla Billionaire Elon Musk Has Suddenly Sent The Price Of ‘Joke’ Bitcoin Rival Dogecoin Sharply Higher,https://www.forbes.com/sites/billybambrough/2022/04/25/tesla-billionaire-elon-musk-has-suddenly-sent-the-price-of-joke-bitcoin-rival-dogecoin-sharply-higher/,8 hours ago,"9,118 views  |  ","Dogecoin﻿﻿, the meme-based, tongue-in-cheek bitcoin rival that's a favorite of Tesla﻿ billionaire Elon Musk, has suddenly leaped higher—even as the bitcoin price dives..."
1,Billy Bambrough,"CryptoCodex: Coinbase CEO Reveals Surprise Crypto Prediction As The Price Of Bitcoin, Ethereum, BNB, XRP, Solana, Cardano And Luna Crash",https://www.forbes.com/sites/billybambrough/2022/04/25/cryptocodex-coinbase-ceo-reveals-surprise-crypto-prediction-as-the-price-of-bitcoin-ethereum-bnb-xrp-solana-cardano-and-luna-crash/,10 hours ago,"7,641 views  |  ",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...
2,Billy Bambrough,‘Target The Bitcoin Price’—Internal Documents Reveal How The EU Could Crack Down On Bitcoin And ‘Protect’ Ethereum,https://www.forbes.com/sites/billybambrough/2022/04/24/target-the-bitcoin-price-internal-documents-reveal-how-the-eu-could-try-to-ban-bitcoin-and-protect-ethereum/,"Apr 24, 2022","13,698 views  |  ",Internal European Union documents have revealed the extent of anti-bitcoin talks among EU officials...
3,Billy Bambrough,Serious ‘Fast Evolving’ Global Crypto ‘Threat’ Warning After Huge Bitcoin And Ethereum Price Swings,https://www.forbes.com/sites/billybambrough/2022/04/23/fast-evolving-global-crypto-threat-warning-after-huge-bitcoin-and-ethereum-price-surge/,"Apr 23, 2022","20,362 views  |  ","Bitcoin﻿﻿, ethereum and other ""fast evolving"" cryptocurrencies could soon become a threat to global financial stability, according to the chair of an international body tasked with shoring up the financial system..."
4,Billy Bambrough,"Massive 2022 ‘All-Time High’ Bitcoin Price Prediction Comes With A Serious Ethereum, BNB, XRP, Solana, Cardano, Luna And Avalanche Warning",https://www.forbes.com/sites/billybambrough/2022/04/21/massive-2022-all-time-high-bitcoin-price-prediction-comes-with-a-serious-ethereum-bnb-xrp-solana-cardano-luna-and-avalanche-warning/,"Apr 21, 2022","245,726 views  |  ","A panel of cryptocurrency experts has predicted the bitcoin price will peak at almost $82,000 in 2022 before dropping to just above $65,000 by the end of the year..."
5,Billy Bambrough,‘Many Single Points Of Failure’—Twitter Founder Jack Dorsey Issues Stark Ethereum Warning Amid Price Volatility,https://www.forbes.com/sites/billybambrough/2022/04/21/many-single-points-of-failure-twitter-founder-jack-dorsey-issues-stark-ethereum-warning-amid-price-volatility/,"Apr 21, 2022","118,272 views  |  ","Jack Dorsey has made a scathing attack on ethereum, warning it ""has many single points of failure"" and calling ethereum-based projects ""not interesting""..."
6,Billy Bambrough,"‘Single Dumbest Thing They Could Do’—‘SPAC King’ Issues Stark Visa And Mastercard Crypto Warning As The Price Of Bitcoin, Ethereum, BNB, XRP, Solana And Cardano Surge",https://www.forbes.com/sites/billybambrough/2022/04/19/single-dumbest-thing-they-could-do-spac-king-issues-stark-visa-and-mastercard-crypto-warning-as-the-price-of-bitcoin-ethereum-bnb-xrp-solana-and-cardano-surge/,"Apr 19, 2022","27,827 views  |  ","Chamath Palihapitiya, a former Facebook executive who runs the venture capital fund Social Capital, has warned there's ""a swarm of activity [coming] to dismantle"" Visa and Mastercard..."
7,Billy Bambrough,"‘Absolute Disaster’—Serious Crypto Price Crash Warning Issued After Bitcoin, Ethereum, BNB, XRP, Solana, Cardano, Luna, And Avalanche Go Into Free Fall",https://www.forbes.com/sites/billybambrough/2022/04/18/absolute-disaster-serious-crypto-price-crash-warning-issued-after-bitcoin-ethereum-bnb-xrp-solana-cardano-luna-and-avalanche-go-into-free-fall/,"Apr 18, 2022","323,272 views  |  ","The combined crypto market has lost almost $400 billion since early April, as top ten cryptocurrencies including Binance's BNB, Ripple's XRP, solana, cardano, luna and avalanche struggle..."
8,Billy Bambrough,"Race To $1 Trillion: Crypto Price Data Reveals When Bitcoin, Ethereum, BNB, XRP, Cardano And Others Could Hit The Milestone",https://www.forbes.com/sites/billybambrough/2022/04/17/race-to-1-trillion-crypto-price-data-reveals-when-bitcoin-ethereum-bnb-xrp-cardano-and-others-could-hit-the-milestone/,"Apr 17, 2022","57,444 views  |  ","Crypto market price research has revealed when bitcoin, ethereum, BNB, XRP, cardano and other major cryptocurrencies could hit the $1 trillion mark if they continue to grow at their average annual growth rate..."
9,Billy Bambrough,‘Critical Juncture’—Shock Crypto Price Prediction Revealed As Bitcoin And Ethereum Brace For Volatility,https://www.forbes.com/sites/billybambrough/2022/04/16/critical-juncture-shock-crypto-price-prediction-revealed-as-bitcoin-and-ethereum-brace-for-volatility/,"Apr 16, 2022","43,126 views  |  ","The chief executive of crypto lending company Nexo has issued a huge crypto price prediction, with a crypto analyst describing the market as ""at a critical juncture""..."
