blog_author,blog_excerpt,blog_publish_date,blog_pull_timestamp,blog_title
"Ben Bartenstein, Bloomberg","
But the world’s largest cryptocurrency exchange by trading volume still needs to complete the application process. ","
10 Apr 2022  21:31  ",,"
Binance gets Abu Dhabi crypto nod as billionaire CEO touts UAE "
"David Pan, Bloomberg","
Bitcoin fell as low as $42 760 in early Asia trading, dropping below $43 000 for the first time since March 24. ","
7 Apr 2022  06:35  ",,"
Bitcoin drops most in a month as markets turn risk-averse "
Reuters,"
The NFT bubble isn’t popping, but it may have sprung a leak ","
7 Apr 2022  12:18  ",,"
NFT sales are down but not out "
"Laura Benitez and Abhinav Ramnarayan, Bloomberg","
Amassing a collection of Bored Ape Yacht Club nonfungible tokens in a bet on the growing lure of digital collectibles. ","
8 Apr 2022  16:02  ",,"
Ex-Barclays traders join digital art craze with Bored Ape tokens "
"Elizabeth Howcroft, Reuters","
Binance and Sky Mavis did not put a figure on how much of the $150 million Binance would provide. ","
7 Apr 2022  12:31  ",,"
Crypto exchange Binance among investors to bail out victims of $615m heist "
"
By Ciaran Ryan
","
CEO Farzam Ehsani explains why South Africa is a rich breeding ground for successful crypto projects. ","
6 Apr 2022  00:01  ",,"
VALR raises R750m and goes off to conquer the world "
"Olga Kharif, Bloomberg","
There’s never been a change on the scale of Ethereum’s transition from proof of work to proof of stake: analyst. ","
6 Apr 2022  13:37  ",,"
Ethereum’s coming ‘merge’ could make or break crypto "
"Zeke Faux, Bloomberg","
‘You pretty quickly run out of really effective ways to make yourself happier by spending money.’ ","
9 Apr 2022  00:16  ",,"
A 30-year-old crypto billionaire wants to give his fortune away "
"Prinesha Naidoo, Bloomberg","
Reserve Bank, Intergovernmental Fintech Working Group complete proof-of-concept project on policy and regulatory implications of distributed-ledger-driven innovation in financial markets. ","
6 Apr 2022  14:53  ",,"
Sarb urges engagement on blockchain "
"Denise Wee, Bloomberg","
As the UK lender wades further into the $800 billion virtual reality market.  ","
9 Apr 2022  09:22  ",,"
HSBC launches portfolio on metaverse for rich Asian clients "
blog_author,blog_excerpt,blog_publish_date,blog_text,blog_title,blog_url
"Ben Bartenstein, Bloomberg","
But the world’s largest cryptocurrency exchange by trading volume still needs to complete the application process. ",10 Apr 2022  21:31,"The UAE, in particular, has emerged as a preferred jurisdiction for crypto exchanges. FTX, one of Binance’s top competitors, received a virtual asset service provider (VASP) license in Dubai last month. 
        poool('config', 'context', 'Article inserts');
        poool('config', 'widget_container', '#poool-widget');
        //poool('config', 'user_is_premium', false );
        //poool('send','page-view', 'free');
    
","
Binance gets Abu Dhabi crypto nod as billionaire CEO touts UAE ",https://www.moneyweb.co.za/news/tech/binance-gets-abu-dhabi-crypto-nod-as-billionaire-ceo-touts-uae/
"Zeke Faux, Bloomberg","
‘You pretty quickly run out of really effective ways to make yourself happier by spending money.’ ",9 Apr 2022  00:16,"The Economic Club of New York has hosted kings, prime ministers, and presidents, as well as Amazon.com Inc.’s Jeff Bezos and JPMorgan Chase &amp; Co.’s Jamie Dimon. Central bankers’ comments at the 115-year-old organisation have moved markets. Sam Bankman-Fried, a 30-year-old cryptocurrency billionaire, is probably the first person to play a computer game while giving a talk.
","
A 30-year-old crypto billionaire wants to give his fortune away ",https://www.moneyweb.co.za/news/international/a-30-year-old-crypto-billionaire-wants-to-give-his-fortune-away/
"
By Ciaran Ryan
","
CEO Farzam Ehsani explains why South Africa is a rich breeding ground for successful crypto projects. ",6 Apr 2022  00:01,"VALR is another South African crypto success story. Having just raised R750 million, valuing the company at R3.7 billion, VALR is off in search of new markets in Africa, India and beyond. Ciaran Ryan chats to CEO Farzam Ehsani.","
VALR raises R750m and goes off to conquer the world ",https://www.moneyweb.co.za/moneyweb-crypto/crypto-podcasts/valr-raises-r750m-and-goes-off-to-conquer-the-world/
"Elizabeth Howcroft, Reuters","
Binance and Sky Mavis did not put a figure on how much of the $150 million Binance would provide. ",7 Apr 2022  12:31,"Crypto exchange Binance is leading investors’ contribution to a bailout of victims of a $615 million digital coin theft, the company targeted in the heist said on Wednesday.
","
Crypto exchange Binance among investors to bail out victims of $615m heist ",https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/crypto-exchange-binance-among-investors-to-bail-out-victims-of-615m-heist/
"David Pan, Bloomberg","
Bitcoin fell as low as $42 760 in early Asia trading, dropping below $43 000 for the first time since March 24. ",7 Apr 2022  06:35,"Bitcoin fell for a fourth day as expectations for the biggest rise in US interest rates in three decades diminishes demand for riskier assets.
","
Bitcoin drops most in a month as markets turn risk-averse ",https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-most-in-a-month-as-markets-turn-risk-averse/
"Laura Benitez and Abhinav Ramnarayan, Bloomberg","
Amassing a collection of Bored Ape Yacht Club nonfungible tokens in a bet on the growing lure of digital collectibles. ",8 Apr 2022  16:02,"Two former Barclays Plc traders have swapped junk bonds for unique computerised art, amassing a collection of Bored Ape Yacht Club nonfungible tokens in a bet on the growing lure of digital collectibles.
","
Ex-Barclays traders join digital art craze with Bored Ape tokens ",https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/ex-barclays-traders-join-digital-art-craze-with-bored-ape-tokens/
"Olga Kharif, Bloomberg","
There’s never been a change on the scale of Ethereum’s transition from proof of work to proof of stake: analyst. ",6 Apr 2022  13:37,"Sometime later this year, Ethereum is set to make the biggest change in its near-decade history, an event that’s certain to ripple through the entire ecosystem of cryptocurrencies and digital assets.
","
Ethereum’s coming ‘merge’ could make or break crypto ",https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereums-coming-merge-could-make-or-break-crypto/
"Prinesha Naidoo, Bloomberg","
Reserve Bank, Intergovernmental Fintech Working Group complete proof-of-concept project on policy and regulatory implications of distributed-ledger-driven innovation in financial markets. ",6 Apr 2022  14:53,"South African policymakers, legislators and regulators need more engagement with the fintech industry before distributed-ledger technology can be incorporated into the nation’s financial markets, according to a new report by the central bank and the Intergovernmental Fintech Working Group.
","
Sarb urges engagement on blockchain ",https://www.moneyweb.co.za/moneyweb-crypto/sarb-urges-engagement-on-blockchain/
"Denise Wee, Bloomberg","
As the UK lender wades further into the $800 billion virtual reality market.  ",9 Apr 2022  09:22,"HSBC Holdings has launched a fund for metaverse opportunities for its private banking clients in Hong Kong and Singapore, as the UK lender wades further into the $800 billion virtual reality market.
","
HSBC launches portfolio on metaverse for rich Asian clients ",https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/hsbc-launches-portfolio-on-metaverse-for-rich-asian-clients/
Reuters,"
The NFT bubble isn’t popping, but it may have sprung a leak ",7 Apr 2022  12:18,"The NFT bubble isn’t popping, but it may have sprung a leak. Buyers are still paying out millions for the non-fungible tokens recorded on blockchain, but the market for the digital assets may be slowing.
","
NFT sales are down but not out ",https://www.moneyweb.co.za/moneyweb-crypto/nft-sales-are-down-but-not-out/
blog_author,blog_excerpt,blog_publish_date,blog_text,blog_title,blog_url
"Ben Bartenstein, Bloomberg","
But the world’s largest cryptocurrency exchange by trading volume still needs to complete the application process. ",10 Apr 2022  21:31,"The UAE, in particular, has emerged as a preferred jurisdiction for crypto exchanges. FTX, one of Binance’s top competitors, received a virtual asset service provider (VASP) license in Dubai last month. 
        poool('config', 'context', 'Article inserts');
        poool('config', 'widget_container', '#poool-widget');
        //poool('config', 'user_is_premium', false );
        //poool('send','page-view', 'free');
    

BitOasis, the first VASP to be recognized in the country, also secured provisional approval from the regulatory body. Bybit and Crypto.com are expanding their presence as well.

Read:
Crypto exchange Binance among investors to bail out victims of $615m heist
Elon Musk tops world’s rich list as crypto billionaires race up the rankings

Changpeng ‘CZ’ Zhao, Binance’s co-founder and chief executive officer, told Bloomberg late last month that Dubai will be his base for the “foreseeable future” and that by “any common interpretation” it’s the company’s headquarters.

Quite a few of the firm’s employees will follow his lead in relocating to the skyscraper-studded city in the months ahead, he said.

SUBSCRIBE NOW SIGN IN
Sasfin’s David Shapiro discusses how the KZN floods are disrupting tourism, business and everyday life. On the company front he looks at Tsogo Sun, the MRP acquisition of Studio 88, and whether Thungela is a good buy.
Instrument Details
 



Email



Password


 Remember Me




You can cancel at any time.","
Binance gets Abu Dhabi crypto nod as billionaire CEO touts UAE ",https://www.moneyweb.co.za/news/tech/binance-gets-abu-dhabi-crypto-nod-as-billionaire-ceo-touts-uae/
"
By Ciaran Ryan
","
CEO Farzam Ehsani explains why South Africa is a rich breeding ground for successful crypto projects. ",6 Apr 2022  00:01,"
VALR is another South African crypto success story. Having just raised R750 million, valuing the company at R3.7 billion, VALR is off in search of new markets in Africa, India and beyond. Ciaran Ryan chats to CEO Farzam Ehsani.
JavaScript is disabled in this browser. To access this article and many more from our archive, please enable JavaScript in your browser and purchase an Insider Gold subscription.
                                
SUBSCRIBE NOW SIGN IN
Sasfin’s David Shapiro discusses how the KZN floods are disrupting tourism, business and everyday life. On the company front he looks at Tsogo Sun, the MRP acquisition of Studio 88, and whether Thungela is a good buy.
Instrument Details
 



Email



Password


 Remember Me




You can cancel at any time.","
VALR raises R750m and goes off to conquer the world ",https://www.moneyweb.co.za/moneyweb-crypto/crypto-podcasts/valr-raises-r750m-and-goes-off-to-conquer-the-world/
"Olga Kharif, Bloomberg","
There’s never been a change on the scale of Ethereum’s transition from proof of work to proof of stake: analyst. ",6 Apr 2022  13:37,"Sometime later this year, Ethereum is set to make the biggest change in its near-decade history, an event that’s certain to ripple through the entire ecosystem of cryptocurrencies and digital assets.

Think of it this way: The most important commercial highway in crypto is about to be completely repaved. 
        poool('config', 'context', 'Article inserts');
        poool('config', 'widget_container', '#poool-widget');
        //poool('config', 'user_is_premium', false );
        //poool('send','page-view', 'free');
    

Ethereum is essentially computer software that uses so-called blockchain technology to provide a digital ledger for recording transactions. It’s become the most popular basis for a growing array of commercial crypto assets and applications, including lending products, non-fungible tokens (NFTs), as well as its native token, Ether.

Ethereum isn’t owned by anyone but built and refined by a community of developers, and it runs on a network of data centers throughout the world. These data centers operate as “miners” on the network, ordering transactions that are posted to the digital ledger. In return they get paid in Ether. This system has been dubbed “proof of work.”

Developers who work on refining the Ethereum software roll out periodic upgrades, but none has been as major as the one expected this year. Named “the Merge,” it will replace miners with so-called stakers. Miners order transactions by solving complex calculations using millions of powerful servers—a system that’s been criticised for its heavy use of electricity. Stakers, by contrast, will order transactions by putting up their own Ether on a new system, which has been in testing since December 2020.

People can already use their digital wallets to stake Ether on this test system, called the Beacon Chain; after the Merge they will start to be selected at random to become what are known as validators, ordering transactions on the Ethereum digital ledger into blocks and getting paid with new Ether. This is called “proof of stake.” 


Market cap

Ethereum’s $415.3 billion market capitalisation depends on the Merge going smoothly, but so do the thousands of businesses that operate on the blockchain, plus millions of users. Some $121.5 billion of capital is locked in Ethereum’s decentralised finance (DeFi) apps, according to tracker DappRadar. Most NFTs—also with a total value in the billions—use Ethereum.

“There’s never been, in the history of blockchain networks, a change on the scale of Ethereum’s transition from proof of work to proof of stake,” says Chase Devens, an analyst at researcher Messari.

The Merge will be a nail-biter because a lot could go wrong. 
There could be software bugs or hacks, or miners could create an alternative Ethereum network. During a 2020 network upgrade, a bug split Ethereum in two, wreaking havoc on its nascent DeFi ecosystem, the apps that let people trade, borrow, and lend without intermediaries like banks.

Most centralised crypto exchanges are expected to pause Ether withdrawals and deposits around the Merge as a precaution. DeFi apps may pause, too, if something goes wrong. 
“With all technical upgrades of all these large chains, you need to use caution,” says Katie Talati, director of research at digital asset manager Arca. “At the end of the day we are dealing with unknown technology.”

The miners are causing the most worries.

Many may quit the network right before the Merge, figuring they can make more money by selling their gear than by waiting to get the last of the rewards. Too steep a drop in the network’s mining power, or the “hash rate,” could weaken Ethereum’s security, spelling disaster for its token and the various apps using the network. Ethereum’s core developers have planned for that scenario. “If we see the hash rate dropping, we could pull the Merge forward,” says Tim Beiko, a computer scientist who coordinates Ethereum developers. “All the software is built with an emergency option.”

Miners may also choose to fork Ethereum, by taking the existing proof-of-work software and continuing to support it. That would create two different versions of Ethereum that run in ­parallel: proof of work and proof of stake.

“We believe POW and POS will coexist for a period of time after the switch,” says Danni Zheng, vice president of BIT Mining, a mining provider that’s also expanding its staking services.

In this scenario, crypto exchanges and users could become confused about which chain’s Ether they’re holding or trading. Two networks will mean more work for app developers, says Dieter Shirley, chief technology officer at Dapper Labs, the maker of an Ethereum-based cat-breeding game, CryptoKitties.

“A contentious fork, it’s likely it would hasten our departure from the Ethereum ecosystem,” Shirley says. Dapper may consider moving CryptoKitties to its own blockchain, Flow, he says.

A fork, or at least a lot of public criticism, is exceedingly likely because many Ethereum miners don’t seem to know the Merge is coming. 
Ethereum developers communicate about the Merge on Discord and Telegram, messaging apps that many miners don’t use, Beiko says. Mining pools, which provide most of the transaction-­ordering on Ethereum today, take a percentage of the miners’ earnings, and it’s in their interest not to notify their members of the Merge so that mining continues at least until the network upgrade, he says.

“I am more concerned about the people who don’t even know this is happening, and they buy this $3,000 miner, and three months later it stops working,” Beiko says. “It would be a bad idea to start mining today.”

And some miners just don’t believe the Merge is really coming, because it’s been delayed in the past.

“There’s a lot of scepticism because Ethereum has promised proof of stake for five years,” Beiko says. “It’s hard to convince people that this time it’s for real.”

Shutting ethereum’s old chain will send shock waves through the cryptomining industry. Scrambling to find other uses for their equipment, miners will migrate their machines to other, similar chains such as Dogecoin, Litecoin, and Monero. The hash rate on those other chains will balloon by 5 to 10 times overnight, says Sam Doctor, chief strategy officer at Bitooda, a digital asset fintech company. Overall revenue for this type of mining could drop as much as 90%, pushing many miners out of business, he says.

U.S. miners will pursue clients outside the crypto industry, in areas such as artificial intelligence and genome sequencing, Doctor says. “But none of them have customer-acquisition experience.”

Investors may benefit from the Merge. The number of new coins issued on Ethereum as rewards for ordering transactions should decrease 50% to 90%, as the proof-of-stake chain will offer lower rewards, Beiko says.

In the next two years the amount of Ether that’s used for staking will probably increase from 8% to 80%, according to staking ­services provider Staked. That will reduce the Ether in circulation, potentially pushing up its value. 
Stakers will be able to use the Ether they receive as rewards for ordering transactions, but not the Ether that they stake—at least not until another software upgrade, expected six months or so after the Merge. Stakers are more likely to hold their Ether for the long term than miners, who often need to sell some to cover electricity costs, says Kyle Samani, co-founder of Multicoin Capital.

After the Merge, the energy consumption of Ethereum’s network should drop more than 99%. To order transactions on the new proof-of-stake network, a validator can use a high-end laptop instead of a server farm. The entire proof-of-stake ­Ethereum is expected to consume around 2.62 megawatts—about as much as a small town with 2,100 American homes. By contrast, current proof-of-work setup gobbles up the energy of a midsize country.

“Even my daughter has picked up the ‘NFTs are boiling the oceans’ hysteria,” says Ben Edgington, lead product owner at ­ConsenSys, which builds infrastructure for the Ethereum blockchain. “I expect that freeing ourselves from the negatives of proof of work will definitely help make applications like DeFi and NFTs much more socially acceptable, leading to significantly accelerated adoption.”

Much will depend on whether the Merge goes smoothly, of course. “If we do our jobs well, nobody will notice the moment that Ethereum moves from proof of work to proof of stake,” ­Edgington says.

Kharif covers cryptocurrencies for Bloomberg News in Portland, Ore.

© 2022 Bloomberg L.P.

                        jQuery(document).on('click', 'a[href*=""#to-comments""]', function (event) {
                            event.preventDefault();

                            jQuery('html, body').animate({
                                scrollTop: jQuery(jQuery.attr(this, 'href')).offset().top
                            }, 500);
                        });
                        jQuery(document).ready(function () {
                            jQuery('img[class*=""wp-image-""]').bind('click', function () {
                                jQuery(this.parentElement).lightBox({
                                    imageLoading: ""https://www.moneyweb.co.za/wp-content/themes/moneyweb-domination/images/spinner_moneyweb.gif"",
                                    imageBtnPrev: ""https://www.moneyweb.co.za/wp-content/themes/moneyweb-domination/images/bg_direction_nav.png"",
                                    imageBtnNext: ""https://www.moneyweb.co.za/wp-content/themes/moneyweb-domination/images/bg_direction_nav.png"",
                                })
                            });

                            function getSelectedText() {
                                if (window.getSelection) {
                                    var range = window.getSelection();
                                    return range.toString()
                                }
                                else {
                                    if (document.selection.createRange) {
                                        var range = document.selection.createRange();
                                        return range.text
                                    }
                                }
                            }

                            function createTweetLink(text, e) {

                                var oldTweetLink = document.getElementById(""tweetLink"");
                                if (oldTweetLink != null && typeof oldTweetLink != ""undefined"") {
                                    oldTweetLink.parentNode.removeChild(oldTweetLink);
                                }

                                if (text === """")
                                    return undefined;
                                var newTweetLink = document.createElement(""a"");
                                newTweetLink.href = ""https://twitter.com/intent/tweet?text="" + encodeURI(text) + ""&url=https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereums-coming-merge-could-make-or-break-crypto/&via=Moneyweb"";
                                newTweetLink.id = ""tweetLink"";
                                newTweetLink.target = ""_blank"";
                                newTweetLink.innerHTML = ' Tweet';
                                var appendedTweetLink = document.getElementById(""article-body-content"").appendChild(newTweetLink);
                                var x = (e.clientX + 5) + 'px',
                                    y = (e.clientY + 5) + 'px';
                                jQuery(appendedTweetLink).css({
                                    ""top"": y,
                                    ""left"": x
                                });
                                return newTweetLink;
                            }

                            var textParagraph = document.getElementById(""textParagraph"");
							if (textParagraph) {
								textParagraph.addEventListener(""mouseup"", function (e) {
									tweetLink = createTweetLink(getSelectedText(), e);
								}, false);
							}
                        });
                    

SUBSCRIBE NOW SIGN IN
Sasfin’s David Shapiro discusses how the KZN floods are disrupting tourism, business and everyday life. On the company front he looks at Tsogo Sun, the MRP acquisition of Studio 88, and whether Thungela is a good buy.
Instrument Details
 



Email



Password


 Remember Me




You can cancel at any time.","
Ethereum’s coming ‘merge’ could make or break crypto ",https://www.moneyweb.co.za/moneyweb-crypto/ethereum/ethereums-coming-merge-could-make-or-break-crypto/
"David Pan, Bloomberg","
Bitcoin fell as low as $42 760 in early Asia trading, dropping below $43 000 for the first time since March 24. ",7 Apr 2022  06:35,"Bitcoin fell for a fourth day as expectations for the biggest rise in US interest rates in three decades diminishes demand for riskier assets.

The correlation coefficient between the Bitcoin and US equities have climbed in the past 90 days as investors grow more risk adverse with the Federal Reserve pulling back on the pandemic era stimulus that is credited for helping to fuel the rise of crypto. Alternative coins such as Ether, XRP and Litecoin fell more than the original digital asset. 
        poool('config', 'context', 'Article inserts');
        poool('config', 'widget_container', '#poool-widget');
        //poool('config', 'user_is_premium', false );
        //poool('send','page-view', 'free');
    

Bitcoin fell as low as $42 760 in early Asia trading, dropping below $43 000 for the first time since March 24. It is down about 7.4% this year. The declines in digital assets mirrored a broad equities selloff, with Japan’s Nikkei Index down 1.8%.



Altcoins have dipped further given their smaller market value and lower trading volume, which usually results in wider price swings. Cardano has fallen 9.1% over the past five days, while Solana is down 9.4%.

Bitcoin briefly surpassed $48 000 in late March to erase losses since year-end, spurring optimism that it would break out of the tight trading range in which it had been mired. Ether had been outperforming Bitcoin during the rebound due to its upcoming technical upgrade scheduled later this year.

Earlier, Billionaire crypto investor Michael Novogratz says that once the Fed takes a pause, Bitcoin could start to take off again.

Novogratz, who leads Galaxy Digital Holdings, predicted the central bank will remain “very hawkish for a while” due to high inflation, and will likely raise interest rates by 50 basis points soon. But as the economy slows down and the Fed steps back, “Bitcoin goes to the moon,” he said, repeating a popular crypto catchphrase.

Novogratz was speaking at the “Bitcoin 2022” conference in Miami, which kicked off on Wednesday with the unveiling of a bull statue that commemorates the city’s partiality toward cryptocurrencies and the digital-assets industry. The event has attracted more than 25 000 attendees.

SUBSCRIBE NOW SIGN IN
Sasfin’s David Shapiro discusses how the KZN floods are disrupting tourism, business and everyday life. On the company front he looks at Tsogo Sun, the MRP acquisition of Studio 88, and whether Thungela is a good buy.
Instrument Details
 



Email



Password


 Remember Me




You can cancel at any time.","
Bitcoin drops most in a month as markets turn risk-averse ",https://www.moneyweb.co.za/moneyweb-crypto/bitcoin/bitcoin-drops-most-in-a-month-as-markets-turn-risk-averse/
